chain,state,southj,centralj,northj,shore,pa1,pa2,empft,emppt,wage_st,empft2,emppt2,wage_st2
1,0,0,0,0,0,1,0,30,15,,3.5,35,4.3
2,0,0,0,0,0,1,0,6.5,6.5,,0,15,4.45
2,0,0,0,0,0,1,0,3,7,,3,7,5
4,0,0,0,0,0,1,0,20,20,5,0,36,5.25
4,0,0,0,0,0,1,0,6,26,5.5,28,3,4.75
1,0,0,0,0,0,0,1,50,35,5,15,18,4.75
1,0,0,0,0,0,0,1,10,17,5,26,9,5
2,0,0,0,0,0,0,1,2,8,5.25,3,12,5
2,0,0,0,0,0,1,0,2,10,5,2,9,5
3,0,0,0,0,0,0,1,2.5,20,5,1,25,4.75
1,0,0,0,0,0,0,1,40,30,5,9,32,5
1,0,0,0,0,0,0,1,8,27,5,7,39,4.5
1,0,0,0,0,0,0,1,10.5,30,5.5,18,10,4.75
1,0,0,0,0,0,0,1,6,9,5,5,20,4.5
2,0,0,0,0,0,0,1,5,17.5,5.25,15,4,5
2,0,0,0,0,0,0,1,1,15,5,4,13,4.75
3,0,0,0,0,0,0,1,10,6,5,6,20,4.75
3,0,0,0,0,0,0,1,20,13,5,5,15,4.75
3,0,0,0,0,0,0,1,5,23,5,2,19,4.25
3,0,0,0,0,0,0,1,10,12.5,5,2,18,5
3,0,0,0,0,0,1,0,27,12,5,0,30,4.9
3,0,0,0,0,0,0,1,4,28,5,8,20,5
3,0,0,0,0,0,0,1,10,15,5,10,10,4.75
4,0,0,0,0,0,0,1,0,28,5,0,31,5
3,0,0,0,0,0,0,1,3,16,5,5.5,10,4.25
3,0,0,0,0,0,0,1,7,16,5,5,19,4.75
1,0,0,0,0,0,1,0,21,9,4.25,6,25,4.25
1,0,0,0,0,0,1,0,1,32,4.25,5,15,
1,0,0,0,0,0,1,0,10,20,4.25,7,25,4.25
1,0,0,0,0,0,1,0,0,27,4.25,0,42,4.25
1,0,0,0,0,0,1,0,17,4,4.5,0,22,4.25
